;"fixed
acidity";"volatile
acidity";"citric
acid";"residual
sugar";chlorides;"free sulfur
dioxide";"total sulfur
dioxide";density;pH;sulphates;alcohol;"quality
(class)"
;11,60;0,58;0,66;2,2;0,074;10;47;1,0008;3,25;0,57;9;3
;10,40;0,61;0,49;2,1;0,2;5;16;0,9994;3,16;0,63;8,4;3
;7,40;1,185;0;4,25;0,097;5;14;0,9966;3,63;0,54;10,7;3
;10,40;0,44;0,42;1,5;0,145;34;48;0,99832;3,38;0,86;9,9;3
;8,30;1,02;0,02;3,4;0,084;6;11;0,99892;3,48;0,49;11;3
;7,60;1,58;0;2,1;0,137;5;9;0,99476;3,5;0,4;10,9;3
;6,80;0,815;0;1,2;0,267;16;29;0,99471;3,32;0,51;9,8;3
;7,30;0,98;0,05;2,1;0,061;20;49;0,99705;3,31;0,55;9,7;3
;7,10;0,875;0,05;5,7;0,082;3;14;0,99808;3,4;0,52;10,2;3
;6,70;0,76;0,02;1,8;0,078;6;12;0,996;3,55;0,63;9,95;3
mínimo;6,70;0,44;0,00;1,20;0,06;3,00;9,00;0,99;3,16;0,40;8,40;3,00
máximo;11,60;1,58;0,66;5,70;0,27;34,00;49,00;1,00;3,63;0,86;11,00;3,00
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
preencher o intervalo entre o máximo e o mínimo com valores distribuídos entre a quantidade ou rátio.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;"fixed
acidity";"volatile
acidity";"citric
acid";"residual
sugar";chlorides;"free sulfur
dioxide";"total sulfur
dioxide";density;pH;sulphates;alcohol;"quality
(class)"
mínimo;6,70;0,44;0,00;1,20;0,06;3,00;9,00;0,9994;3,16;0,40;8,40;3,00
;6,75;0,55;0,02;1,50;0,10;5,00;9,00;0,9995;3,17;0,42;9,00;3,00
;7,80;0,66;0,05;1,80;0,12;6,00;10,00;0,9996;3,20;0,44;9,30;3,00
;8,18;0,77;0,08;2,20;0,15;6,00;11,00;0,9997;3,22;0,46;9,40;3,00
;8,73;0,88;0,16;2,50;0,16;12,00;12,00;0,9998;3,24;0,48;9,63;3,00
;9,28;0,99;0,21;2,83;0,17;12,50;13,00;0,9999;3,26;0,50;9,83;3,00
;9,83;1,10;0,26;3,16;0,17;14,60;14,00;1,0000;3,28;0,52;10,03;3,00
;10,38;1,21;0,32;3,49;0,18;16,70;15,00;1,0000;3,30;0,54;10,23;3,00
;10,93;1,32;0,37;3,82;0,19;18,80;16,00;1,0000;3,32;0,56;10,43;3,00
;11,48;1,43;0,43;4,15;0,19;20,90;17,00;1,0000;3,34;0,58;10,63;3,00
máximo;11,60;1,58;0,66;5,70;0,27;34,00;49,00;1,00;3,63;0,86;11,00;3,00
